NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.18426E-02, -4.26839E-02, -4.35164E-02, -4.43338E-02, -4.51295E-02, -4.58957E-02, -4.66243E-02, -4.73067E-02, -4.79339E-02, -4.84968E-02, -4.89866E-02, -4.93952E-02, -4.97153E-02, -4.99410E-02, -5.00680E-02, -5.00936E-02, -5.00175E-02, -4.98411E-02, -4.95678E-02, -4.92029E-02, -4.87529E-02, -4.82257E-02, -4.76296E-02, -4.69738E-02, -4.62672E-02, -4.55187E-02, -4.47367E-02, -4.39292E-02, -4.31033E-02, -4.22656E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.22253E-02, -4.31514E-02, -4.40775E-02, -4.49979E-02, -4.59058E-02, -4.67934E-02, -4.76522E-02, -4.84724E-02, -4.92440E-02, -4.99560E-02, -5.05975E-02, -5.11578E-02, -5.16266E-02, -5.19948E-02, -5.22549E-02, -5.24013E-02, -5.24309E-02, -5.23431E-02, -5.21397E-02, -5.18251E-02, -5.14059E-02, -5.08904E-02, -5.02884E-02, -4.96104E-02, -4.88673E-02, -4.80701E-02, -4.72293E-02, -4.63549E-02, -4.54560E-02, -4.45408E-02, -4.36165E-02, -4.26896E-02, -4.17653E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.15076E-02, -4.24998E-02, -4.35062E-02, -4.45226E-02, -4.55438E-02, -4.65635E-02, -4.75743E-02, -4.85675E-02, -4.95332E-02, -5.04602E-02, -5.13365E-02, -5.21490E-02, -5.28844E-02, -5.35292E-02, -5.40706E-02, -5.44972E-02, -5.47991E-02, -5.49694E-02, -5.50039E-02, -5.49018E-02, -5.46654E-02, -5.43006E-02, -5.38157E-02, -5.32213E-02, -5.25298E-02, -5.17543E-02, -5.09083E-02, -5.00051E-02, -4.90572E-02, -4.80763E-02, -4.70730E-02, -4.60565E-02, -4.50350E-02, -4.40153E-02, -4.30031E-02, -4.20031E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.16040E-02, -4.26604E-02, -4.37405E-02, -4.48411E-02, -4.59579E-02, -4.70856E-02, -4.82174E-02, -4.93455E-02, -5.04600E-02, -5.15497E-02, -5.26018E-02, -5.36018E-02, -5.45341E-02, -5.53822E-02, -5.61294E-02, -5.67594E-02, -5.72574E-02, -5.76109E-02, -5.78107E-02, -5.78512E-02, -5.77313E-02, -5.74544E-02, -5.70278E-02, -5.64626E-02, -5.57724E-02, -5.49730E-02, -5.40809E-02, -5.31127E-02, -5.20847E-02, -5.10120E-02, -4.99082E-02, -4.87854E-02, -4.76541E-02, -4.65231E-02, -4.53999E-02, -4.42903E-02, -4.31992E-02, -4.21303E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.15921E-02, -4.27043E-02, -4.38495E-02, -4.50257E-02, -4.62299E-02, -4.74581E-02, -4.87050E-02, -4.99635E-02, -5.12253E-02, -5.24795E-02, -5.37136E-02, -5.49127E-02, -5.60596E-02, -5.71356E-02, -5.81202E-02, -5.89923E-02, -5.97314E-02, -6.03180E-02, -6.07357E-02, -6.09723E-02, -6.10203E-02, -6.08783E-02, -6.05508E-02, -6.00475E-02, -5.93830E-02, -5.85753E-02, -5.76446E-02, -5.66119E-02, -5.54980E-02, -5.43226E-02, -5.31039E-02, -5.18577E-02, -5.05980E-02, -4.93363E-02, -4.80823E-02, -4.68437E-02, -4.56265E-02, -4.44355E-02, -4.32742E-02, -4.21450E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.14731E-02, -4.26314E-02, -4.38315E-02, -4.50727E-02, -4.63535E-02, -4.76716E-02, -4.90232E-02, -5.04033E-02, -5.18050E-02, -5.32192E-02, -5.46346E-02, -5.60370E-02, -5.74094E-02, -5.87318E-02, -5.99811E-02, -6.11324E-02, -6.21588E-02, -6.30336E-02, -6.37314E-02, -6.42303E-02, -6.45134E-02, -6.45710E-02, -6.44010E-02, -6.40093E-02, -6.34095E-02, -6.26209E-02, -6.16675E-02, -6.05757E-02, -5.93722E-02, -5.80833E-02, -5.67331E-02, -5.53431E-02, -5.39319E-02, -5.25151E-02, -5.11055E-02, -4.97132E-02, -4.83462E-02, -4.70104E-02, -4.57101E-02, -4.44485E-02, -4.32274E-02, -4.20478E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.12508E-02, -4.24447E-02, -4.36883E-02, -4.49824E-02, -4.63270E-02, -4.77214E-02, -4.91641E-02, -5.06520E-02, -5.21808E-02, -5.37437E-02, -5.53318E-02, -5.69331E-02, -5.85322E-02, -6.01098E-02, -6.16426E-02, -6.31028E-02, -6.44593E-02, -6.56780E-02, -6.67239E-02, -6.75632E-02, -6.81660E-02, -6.85092E-02, -6.85792E-02, -6.83730E-02, -6.78989E-02, -6.71757E-02, -6.62300E-02, -6.50939E-02, -6.38023E-02, -6.23900E-02, -6.08897E-02, -5.93311E-02, -5.77396E-02, -5.61368E-02, -5.45399E-02, -5.29625E-02, -5.14152E-02, -4.99057E-02, -4.84394E-02, -4.70201E-02, -4.56500E-02, -4.43302E-02, -4.30611E-02, -4.18422E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.09311E-02, -4.21497E-02, -4.34250E-02, -4.47588E-02, -4.61528E-02, -4.76082E-02, -4.91254E-02, -5.07038E-02, -5.23418E-02, -5.40358E-02, -5.57801E-02, -5.75661E-02, -5.93819E-02, -6.12111E-02, -6.30323E-02, -6.48185E-02, -6.65368E-02, -6.81483E-02, -6.96094E-02, -7.08740E-02, -7.18961E-02, -7.26344E-02, -7.30565E-02, -7.31427E-02, -7.28889E-02, -7.23072E-02, -7.14237E-02, -7.02759E-02, -6.89080E-02, -6.73663E-02, -6.56963E-02, -6.39394E-02, -6.21315E-02, -6.03027E-02, -5.84773E-02, -5.66739E-02, -5.49068E-02, -5.31861E-02, -5.15189E-02, -4.99098E-02, -4.83613E-02, -4.68745E-02, -4.54495E-02, -4.40853E-02, -4.27807E-02, -4.15337E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.17542E-02, -4.30491E-02, -4.44093E-02, -4.58378E-02, -4.73375E-02, -4.89109E-02, -5.05599E-02, -5.22856E-02, -5.40879E-02, -5.59648E-02, -5.79122E-02, -5.99230E-02, -6.19857E-02, -6.40840E-02, -6.61948E-02, -6.82877E-02, -7.03238E-02, -7.22550E-02, -7.40255E-02, -7.55736E-02, -7.68362E-02, -7.77548E-02, -7.82824E-02, -7.83905E-02, -7.80730E-02, -7.73473E-02, -7.62518E-02, -7.48401E-02, -7.31737E-02, -7.13158E-02, -6.93255E-02, -6.72552E-02, -6.51483E-02, -6.30397E-02, -6.09559E-02, -5.89165E-02, -5.69354E-02, -5.50217E-02, -5.31810E-02, -5.14162E-02, -4.97283E-02, -4.81167E-02, -4.65799E-02, -4.51157E-02, -4.37214E-02, -4.23939E-02, -4.11302E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.12676E-02, -4.25706E-02, -4.39441E-02, -4.53922E-02, -4.69195E-02, -4.85302E-02, -5.02284E-02, -5.20181E-02, -5.39022E-02, -5.58831E-02, -5.79613E-02, -6.01352E-02, -6.23999E-02, -6.47461E-02, -6.71585E-02, -6.96137E-02, -7.20787E-02, -7.45084E-02, -7.68442E-02, -7.90144E-02, -8.09362E-02,NA,NA,NA,NA,NA,NA, -8.17863E-02, -8.00235E-02, -7.79675E-02, -7.57049E-02, -7.33137E-02, -7.08592E-02, -6.83932E-02, -6.59548E-02, -6.35720E-02, -6.12639E-02, -5.90426E-02, -5.69151E-02, -5.48846E-02, -5.29514E-02, -5.11141E-02, -4.93700E-02, -4.77155E-02, -4.61465E-02, -4.46590E-02, -4.32483E-02, -4.19104E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
