NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.25820E-02, -4.39889E-02, -4.54798E-02, -4.70614E-02, -4.87408E-02, -5.05258E-02, -5.24241E-02, -5.44440E-02, -5.65933E-02, -5.88791E-02, -6.13069E-02, -6.38795E-02, -6.65955E-02, -6.94470E-02, -7.24176E-02, -7.54794E-02, -7.85908E-02, -8.16934E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.23809E-02, -7.91118E-02, -7.58171E-02, -7.25698E-02, -6.94214E-02, -6.64055E-02, -6.35419E-02, -6.08400E-02, -5.83018E-02, -5.59240E-02, -5.37001E-02, -5.16216E-02, -4.96789E-02, -4.78622E-02, -4.61619E-02, -4.45688E-02, -4.30741E-02, -4.16698E-02, -4.03486E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.19301E-02, -4.33243E-02, -4.48047E-02, -4.63789E-02, -4.80551E-02, -4.98425E-02, -5.17512E-02, -5.37920E-02, -5.59766E-02, -5.83172E-02, -6.08258E-02, -6.35139E-02, -6.63906E-02, -6.94612E-02, -7.27242E-02, -7.61685E-02, -7.97690E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.02332E-02, -7.63917E-02, -7.27242E-02, -6.92605E-02, -6.60140E-02, -6.29865E-02, -6.01724E-02, -5.75611E-02, -5.51394E-02, -5.28930E-02, -5.08073E-02, -4.88685E-02, -4.70632E-02, -4.53794E-02, -4.38059E-02, -4.23330E-02, -4.09516E-02, -3.96537E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.25850E-02, -4.40439E-02, -4.55974E-02, -4.72546E-02, -4.90256E-02, -5.09217E-02, -5.29557E-02, -5.51420E-02, -5.74963E-02, -6.00360E-02, -6.27798E-02, -6.57467E-02, -6.89549E-02, -7.24199E-02, -7.61508E-02, -8.01461E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.61657E-02, -7.21928E-02, -6.85203E-02, -6.51381E-02, -6.20289E-02, -5.91722E-02, -5.65459E-02, -5.41283E-02, -5.18985E-02, -4.98376E-02, -4.79284E-02, -4.61555E-02, -4.45052E-02, -4.29655E-02, -4.15258E-02, -4.01767E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.17853E-02, -4.32134E-02, -4.47355E-02, -4.63608E-02, -4.80998E-02, -4.99644E-02, -5.19683E-02, -5.41274E-02, -5.64595E-02, -5.89855E-02, -6.17289E-02, -6.47163E-02, -6.79766E-02, -7.15405E-02, -7.54381E-02, -7.96947E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.51604E-02, -7.10216E-02, -6.72595E-02, -6.38410E-02, -6.07316E-02, -5.78982E-02, -5.53095E-02, -5.29376E-02, -5.07576E-02, -4.87477E-02, -4.68889E-02, -4.51650E-02, -4.35615E-02, -4.20663E-02, -4.06686E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.23284E-02, -4.38105E-02, -4.53938E-02, -4.70886E-02, -4.89069E-02, -5.08626E-02, -5.29717E-02, -5.52531E-02, -5.77289E-02, -6.04249E-02, -6.33718E-02, -6.66055E-02, -7.01675E-02, -7.41045E-02, -7.84669E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.34660E-02, -6.93064E-02, -6.55715E-02, -6.22090E-02, -5.91715E-02, -5.64169E-02, -5.39087E-02, -5.16155E-02, -4.95105E-02, -4.75712E-02, -4.57783E-02, -4.41154E-02, -4.25684E-02, -4.11254E-02, -3.97760E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.14024E-02, -4.28383E-02, -4.43719E-02, -4.60135E-02, -4.77746E-02, -4.96687E-02, -5.17114E-02, -5.39212E-02, -5.63199E-02, -5.89335E-02, -6.17935E-02, -6.49380E-02, -6.84133E-02, -7.22754E-02, -7.65914E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.12252E-02, -6.71775E-02, -6.35704E-02, -6.03394E-02, -5.74299E-02, -5.47956E-02, -5.23986E-02, -5.02069E-02, -4.81943E-02, -4.63387E-02, -4.46216E-02, -4.30276E-02, -4.15434E-02, -4.01576E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.18325E-02, -4.33111E-02, -4.48931E-02, -4.65895E-02, -4.84128E-02, -5.03780E-02, -5.25024E-02, -5.48064E-02, -5.73148E-02, -6.00571E-02, -6.30702E-02, -6.63995E-02, -7.01020E-02, -7.42497E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.29530E-02, -6.86107E-02, -6.47792E-02, -6.13744E-02, -5.83274E-02, -5.55825E-02, -5.30946E-02, -5.08272E-02, -4.87505E-02, -4.68400E-02, -4.50754E-02, -4.34398E-02, -4.19191E-02, -4.05010E-02, -3.91752E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.22253E-02, -4.37435E-02, -4.53701E-02, -4.71170E-02, -4.89978E-02, -5.10285E-02, -5.32278E-02, -5.56180E-02, -5.82260E-02, -6.10847E-02, -6.42352E-02, -6.77292E-02, -7.16338E-02, -7.60363E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.98196E-02, -6.57982E-02, -6.22494E-02, -5.90900E-02, -5.62549E-02, -5.36929E-02, -5.13632E-02, -4.92334E-02, -4.72770E-02, -4.54724E-02, -4.38016E-02, -4.22496E-02, -4.08037E-02, -3.94530E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.25779E-02, -4.41320E-02, -4.57991E-02, -4.75918E-02, -4.95245E-02, -5.16142E-02, -5.38807E-02, -5.63477E-02, -5.90437E-02, -6.20038E-02, -6.52718E-02, -6.89042E-02, -7.29749E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.65928E-02, -6.29408E-02, -5.97011E-02, -5.68010E-02, -5.41847E-02, -5.18084E-02, -4.96380E-02, -4.76458E-02, -4.58093E-02, -4.41100E-02, -4.25325E-02, -4.10637E-02, -3.96923E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.14077E-02, -4.28878E-02, -4.44737E-02, -4.61768E-02, -4.80101E-02, -4.99888E-02, -5.21305E-02, -5.44559E-02, -5.69894E-02, -5.97606E-02, -6.28054E-02, -6.61689E-02, -6.99088E-02, -7.41015E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.71349E-02, -6.34309E-02, -6.01494E-02, -5.72132E-02, -5.45644E-02, -5.21586E-02, -4.99610E-02, -4.79436E-02, -4.60839E-02, -4.43634E-02, -4.27662E-02, -4.12794E-02, -3.98916E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
