NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.33273E-03,  4.46217E-03,  4.61100E-03,  4.78004E-03,  4.96990E-03,  5.18103E-03,  5.41359E-03,  5.66751E-03,  5.94237E-03,  6.23745E-03,  6.55168E-03,  6.88366E-03,  7.23163E-03,  7.59354E-03,  7.96702E-03,  8.34950E-03,  8.73818E-03,  9.13015E-03,  9.52241E-03,  9.91195E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.78009E-03,  3.85154E-03,  3.94064E-03,  4.04871E-03,  4.17705E-03,  4.32683E-03,  4.49907E-03,  4.69463E-03,  4.91411E-03,  5.15784E-03,  5.42585E-03,  5.71778E-03,  6.03292E-03,  6.37012E-03,  6.72783E-03,  7.10412E-03,  7.49662E-03,  7.90266E-03,  8.31926E-03,  8.74318E-03,  9.17104E-03,  9.59936E-03,  1.00247E-02,  1.04436E-02,  1.08528E-02,  1.12492E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.38707E-03,  3.40336E-03,  3.43391E-03,  3.48031E-03,  3.54415E-03,  3.62708E-03,  3.73069E-03,  3.85654E-03,  4.00607E-03,  4.18060E-03,  4.38122E-03,  4.60879E-03,  4.86385E-03,  5.14655E-03,  5.45666E-03,  5.79345E-03,  6.15574E-03,  6.54183E-03,  6.94954E-03,  7.37620E-03,  7.81872E-03,  8.27366E-03,  8.73727E-03,  9.20560E-03,  9.67460E-03,  1.01402E-02,  1.05985E-02,  1.10456E-02,  1.14780E-02,  1.18927E-02,  1.22867E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.12132E-03,  3.10021E-03,  3.09071E-03,  3.09447E-03,  3.11320E-03,  3.14873E-03,  3.20292E-03,  3.27768E-03,  3.37493E-03,  3.49654E-03,  3.64431E-03,  3.81987E-03,  4.02466E-03,  4.25984E-03,  4.52620E-03,  4.82413E-03,  5.15350E-03,  5.51366E-03,  5.90337E-03,  6.32078E-03,  6.76345E-03,  7.22833E-03,  7.71188E-03,  8.21008E-03,  8.71855E-03,  9.23269E-03,  9.74773E-03,  1.02589E-02,  1.07616E-02,  1.12514E-02,  1.17243E-02,  1.21765E-02,  1.26050E-02,  1.30071E-02,  1.33808E-02,  1.37244E-02,  1.40371E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.87495E-03,  2.82818E-03,  2.79157E-03,  2.76679E-03,  2.75570E-03,  2.76023E-03,  2.78246E-03,  2.82455E-03,  2.88874E-03,  2.97732E-03,  3.09253E-03,  3.23658E-03,  3.41152E-03,  3.61921E-03,  3.86119E-03,  4.13861E-03,  4.45212E-03,  4.80182E-03,  5.18715E-03,  5.60684E-03,  6.05888E-03,  6.54054E-03,  7.04834E-03,  7.57818E-03,  8.12537E-03,  8.68478E-03,  9.25097E-03,  9.81833E-03,  1.03813E-02,  1.09344E-02,  1.14724E-02,  1.19907E-02,  1.24851E-02,  1.29519E-02,  1.33882E-02,  1.37918E-02,  1.41609E-02,  1.44948E-02,  1.47929E-02,  1.50555E-02,  1.52833E-02,  1.54773E-02,  1.56390E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.72776E-03,  2.64799E-03,  2.57503E-03,  2.51044E-03,  2.45592E-03,  2.41333E-03,  2.38472E-03,  2.37229E-03,  2.37838E-03,  2.40548E-03,  2.45623E-03,  2.53330E-03,  2.63942E-03,  2.77728E-03,  2.94945E-03,  3.15829E-03,  3.40586E-03,  3.69374E-03,  4.02300E-03,  4.39400E-03,  4.80636E-03,  5.25881E-03,  5.74920E-03,  6.27446E-03,  6.83062E-03,  7.41290E-03,  8.01580E-03,  8.63327E-03,  9.25887E-03,  9.88596E-03,  1.05079E-02,  1.11183E-02,  1.17111E-02,  1.22807E-02,  1.28223E-02,  1.33319E-02,  1.38060E-02,  1.42422E-02,  1.46389E-02,  1.49952E-02,  1.53108E-02,  1.55862E-02,  1.58224E-02,  1.60209E-02,  1.61835E-02,  1.63122E-02,  1.64093E-02,  1.64771E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.54774E-03,  2.44371E-03,  2.34451E-03,  2.25161E-03,  2.16667E-03,  2.09156E-03,  2.02830E-03,  1.97915E-03,  1.94656E-03,  1.93319E-03,  1.94191E-03,  1.97575E-03,  2.03788E-03,  2.13158E-03,  2.26012E-03,  2.42671E-03,  2.63436E-03,  2.88574E-03,  3.18306E-03,  3.52789E-03,  3.92101E-03,  4.36228E-03,  4.85052E-03,  5.38343E-03,  5.95758E-03,  6.56840E-03,  7.21032E-03,  7.87685E-03,  8.56082E-03,  9.25454E-03,  9.95012E-03,  1.06397E-02,  1.13155E-02,  1.19706E-02,  1.25983E-02,  1.31932E-02,  1.37504E-02,  1.42663E-02,  1.47383E-02,  1.51646E-02,  1.55444E-02,  1.58779E-02,  1.61657E-02,  1.64095E-02,  1.66111E-02,  1.67728E-02,  1.68973E-02,  1.69872E-02,  1.70455E-02,  1.70750E-02,  1.70785E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.52182E-03,  2.39270E-03,  2.26501E-03,  2.13997E-03,  2.01897E-03,  1.90356E-03,  1.79551E-03,  1.69680E-03,  1.60964E-03,  1.53650E-03,  1.48010E-03,  1.44344E-03,  1.42975E-03,  1.44257E-03,  1.48562E-03,  1.56279E-03,  1.67808E-03,  1.83547E-03,  2.03876E-03,  2.29146E-03,  2.59656E-03,  2.95632E-03,  3.37211E-03,  3.84415E-03,  4.37143E-03,  4.95154E-03,  5.58063E-03,  6.25348E-03,  6.96353E-03,  7.70309E-03,  8.46358E-03,  9.23581E-03,  1.00103E-02,  1.07776E-02,  1.15286E-02,  1.22548E-02,  1.29486E-02,  1.36035E-02,  1.42140E-02,  1.47762E-02,  1.52871E-02,  1.57451E-02,  1.61496E-02,  1.65010E-02,  1.68007E-02,  1.70506E-02,  1.72533E-02,  1.74118E-02,  1.75294E-02,  1.76093E-02,  1.76551E-02,  1.76701E-02,  1.76576E-02,  1.76208E-02,  1.75626E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,  2.41429E-03,  2.26466E-03,  2.11431E-03,  1.96432E-03,  1.81593E-03,  1.67056E-03,  1.52984E-03,  1.39561E-03,  1.26999E-03,  1.15533E-03,  1.05432E-03,  9.69935E-04,  9.05515E-04,  8.64739E-04,  8.51638E-04,  8.70570E-04,  9.26174E-04,  1.02328E-03,  1.16681E-03,  1.36159E-03,  1.61216E-03,  1.92254E-03,  2.29593E-03,  2.73448E-03,  3.23901E-03,  3.80878E-03,  4.44132E-03,  5.13236E-03,  5.87586E-03,  6.66409E-03,  7.48788E-03,  8.33692E-03,  9.20010E-03,  1.00660E-02,  1.09232E-02,  1.17607E-02,  1.25685E-02,  1.33376E-02,  1.40604E-02,  1.47308E-02,  1.53441E-02,  1.58974E-02,  1.63891E-02,  1.68190E-02,  1.71881E-02,  1.74983E-02,  1.77524E-02,  1.79537E-02,  1.81060E-02,  1.82133E-02,  1.82797E-02,  1.83094E-02,  1.83065E-02,  1.82746E-02,  1.82174E-02,  1.81383E-02,  1.80403E-02,  1.79262E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  2.33388E-03,  2.16516E-03,  1.99353E-03,  1.81991E-03,  1.64535E-03,  1.47109E-03,  1.29859E-03,  1.12951E-03,  9.65774E-04,  8.09568E-04,  6.63407E-04,  5.30150E-04,  4.13044E-04,  3.15757E-04,  2.42413E-04,  1.97603E-04,  1.86381E-04,  2.14233E-04,  2.86994E-04,  4.10721E-04,  5.91505E-04,  8.35220E-04,  1.14722E-03,  1.53199E-03,  1.99278E-03,  2.53123E-03,  3.14707E-03,  3.83788E-03,  4.59895E-03,  5.42326E-03,  6.30167E-03,  7.22316E-03,  8.17522E-03,  9.14437E-03,  1.01167E-02,  1.10783E-02,  1.20161E-02,  1.29180E-02,  1.37732E-02,  1.45730E-02,  1.53103E-02,  1.59801E-02,  1.65794E-02,  1.71068E-02,  1.75625E-02,  1.79484E-02,  1.82672E-02,  1.85226E-02,  1.87190E-02,  1.88612E-02,  1.89541E-02,  1.90028E-02,  1.90122E-02,  1.89870E-02,  1.89317E-02,  1.88504E-02,  1.87469E-02,  1.86246E-02,  1.84865E-02,  1.83353E-02,  1.81733E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
