NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.94499E-02,  4.01675E-02,  4.08485E-02,  4.14834E-02,  4.20625E-02,  4.25763E-02,  4.30152E-02,  4.33708E-02,  4.36354E-02,  4.38030E-02,  4.38694E-02,  4.38326E-02,  4.36925E-02,  4.34514E-02,  4.31138E-02,  4.26860E-02,  4.21757E-02,  4.15920E-02,  4.09448E-02,  4.02441E-02,  3.95001E-02,  3.87227E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.00911E-02,  4.09274E-02,  4.17366E-02,  4.25083E-02,  4.32314E-02,  4.38943E-02,  4.44851E-02,  4.49922E-02,  4.54050E-02,  4.57139E-02,  4.59114E-02,  4.59920E-02,  4.59530E-02,  4.57944E-02,  4.55191E-02,  4.51326E-02,  4.46427E-02,  4.40593E-02,  4.33936E-02,  4.26577E-02,  4.18640E-02,  4.10247E-02,  4.01514E-02,  3.92551E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.96436E-02,  4.06041E-02,  4.15594E-02,  4.25001E-02,  4.34154E-02,  4.42932E-02,  4.51203E-02,  4.58824E-02,  4.65653E-02,  4.71545E-02,  4.76366E-02,  4.79996E-02,  4.82337E-02,  4.83320E-02,  4.82909E-02,  4.81103E-02,  4.77938E-02,  4.73484E-02,  4.67841E-02,  4.61133E-02,  4.53500E-02,  4.45092E-02,  4.36062E-02,  4.26557E-02,  4.16716E-02,  4.06666E-02,  3.96520E-02,  3.86374E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.99113E-02,  4.09723E-02,  4.20425E-02,  4.31132E-02,  4.41740E-02,  4.52125E-02,  4.62146E-02,  4.71645E-02,  4.80450E-02,  4.88386E-02,  4.95272E-02,  5.00939E-02,  5.05233E-02,  5.08029E-02,  5.09235E-02,  5.08804E-02,  5.06733E-02,  5.03069E-02,  4.97901E-02,  4.91358E-02,  4.83596E-02,  4.74794E-02,  4.65139E-02,  4.54819E-02,  4.44012E-02,  4.32885E-02,  4.21588E-02,  4.10247E-02,  3.98972E-02,  3.87850E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.00317E-02,  4.11831E-02,  4.23593E-02,  4.35532E-02,  4.47555E-02,  4.59546E-02,  4.71363E-02,  4.82844E-02,  4.93800E-02,  5.04024E-02,  5.13298E-02,  5.21397E-02,  5.28104E-02,  5.33221E-02,  5.36585E-02,  5.38074E-02,  5.37626E-02,  5.35235E-02,  5.30961E-02,  5.24919E-02,  5.17277E-02,  5.08237E-02,  4.98026E-02,  4.86879E-02,  4.75028E-02,  4.62694E-02,  4.50073E-02,  4.37339E-02,  4.24639E-02,  4.12092E-02,  3.99792E-02,  3.87810E-02,  3.76199E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.88177E-02,  4.00014E-02,  4.12293E-02,  4.24981E-02,  4.38027E-02,  4.51360E-02,  4.64880E-02,  4.78462E-02,  4.91948E-02,  5.05148E-02,  5.17839E-02,  5.29772E-02,  5.40673E-02,  5.50262E-02,  5.58258E-02,  5.64405E-02,  5.68485E-02,  5.70338E-02,  5.69877E-02,  5.67094E-02,  5.62066E-02,  5.54946E-02,  5.45952E-02,  5.35348E-02,  5.23426E-02,  5.10483E-02,  4.96812E-02,  4.82678E-02,  4.68317E-02,  4.53931E-02,  4.39685E-02,  4.25707E-02,  4.12096E-02,  3.98924E-02,  3.86236E-02,  3.74063E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.98223E-02,  4.11100E-02,  4.24539E-02,  4.38516E-02,  4.52988E-02,  4.67884E-02,  4.83106E-02,  4.98519E-02,  5.13949E-02,  5.29178E-02,  5.43943E-02,  5.57941E-02,  5.70834E-02,  5.82265E-02,  5.91872E-02,  5.99319E-02,  6.04313E-02,  6.06639E-02,  6.06174E-02,  6.02907E-02,  5.96938E-02,  5.88472E-02,  5.77797E-02,  5.65263E-02,  5.51248E-02,  5.36135E-02,  5.20286E-02,  5.04027E-02,  4.87640E-02,  4.71354E-02,  4.55351E-02,  4.39770E-02,  4.24709E-02,  4.10232E-02,  3.96380E-02,  3.83170E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.95021E-02,  4.08308E-02,  4.22294E-02,  4.36984E-02,  4.52367E-02,  4.68412E-02,  4.85057E-02,  5.02207E-02,  5.19724E-02,  5.37417E-02,  5.55042E-02,  5.72290E-02,  5.88796E-02,  6.04141E-02,  6.17868E-02,  6.29509E-02,  6.38613E-02,  6.44787E-02,  6.47733E-02,  6.47279E-02,  6.43407E-02,  6.36250E-02,  6.26084E-02,  6.13300E-02,  5.98363E-02,  5.81771E-02,  5.64018E-02,  5.45556E-02,  5.26786E-02,  5.08035E-02,  4.89568E-02,  4.71579E-02,  4.54208E-02,  4.37549E-02,  4.21656E-02,  4.06552E-02,  3.92242E-02,  3.78711E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.90530E-02,  4.04033E-02,  4.18347E-02,  4.33505E-02,  4.49532E-02,  4.66437E-02,  4.84207E-02,  5.02796E-02,  5.22121E-02,  5.42045E-02,  5.62371E-02,  5.82825E-02,  6.03053E-02,  6.22615E-02,  6.40993E-02,  6.57604E-02,  6.71832E-02,  6.83074E-02,  6.90789E-02,  6.94561E-02,  6.94145E-02,  6.89507E-02,  6.80829E-02,  6.68492E-02,  6.53030E-02,  6.35075E-02,  6.15287E-02,  5.94305E-02,  5.72701E-02,  5.50958E-02,  5.29459E-02,  5.08495E-02,  4.88269E-02,  4.68915E-02,  4.50511E-02,  4.33090E-02,  4.16656E-02,  4.01188E-02,  3.86652E-02,  3.73004E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.84911E-02,  3.98442E-02,  4.12864E-02,  4.28238E-02,  4.44621E-02,  4.62062E-02,  4.80598E-02,  5.00241E-02,  5.20974E-02,  5.42735E-02,  5.65402E-02,  5.88777E-02,  6.12567E-02,  6.36372E-02,  6.59669E-02,  6.81819E-02,  7.02076E-02,  7.19630E-02,  7.33660E-02,  7.43415E-02,  7.48303E-02,  7.47968E-02,  7.42350E-02,  7.31700E-02,  7.16552E-02,  6.97653E-02,  6.75869E-02,  6.52088E-02,  6.27142E-02,  6.01750E-02,  5.76492E-02,  5.51807E-02,  5.28002E-02,  5.05277E-02,  4.83744E-02,  4.63453E-02,  4.44406E-02,  4.26572E-02,  4.09904E-02,  3.94337E-02,  3.79803E-02,  3.66232E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
