NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.67409E-02,  2.75767E-02,  2.82770E-02,  2.88208E-02,  2.91911E-02,  2.93757E-02,  2.93682E-02,  2.91685E-02,  2.87828E-02,  2.82230E-02,  2.75060E-02,  2.66526E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.39240E-02,  2.52443E-02,  2.65250E-02,  2.77386E-02,  2.88556E-02,  2.98456E-02,  3.06790E-02,  3.13290E-02,  3.17735E-02,  3.19960E-02,  3.19882E-02,  3.17502E-02,  3.12899E-02,  3.06232E-02,  2.97722E-02,  2.87638E-02,  2.76273E-02,  2.63933E-02,  2.50913E-02,  2.37490E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.23956E-02,  2.39106E-02,  2.54453E-02,  2.69753E-02,  2.84713E-02,  2.98998E-02,  3.12242E-02,  3.24055E-02,  3.34059E-02,  3.41900E-02,  3.47283E-02,  3.49991E-02,  3.49913E-02,  3.47044E-02,  3.41497E-02,  3.33483E-02,  3.23296E-02,  3.11286E-02,  2.97834E-02,  2.83329E-02,  2.68138E-02,  2.52602E-02,  2.37012E-02,  2.21615E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.03138E-02,  2.19089E-02,  2.35792E-02,  2.53099E-02,  2.70791E-02,  2.88593E-02,  3.06160E-02,  3.23083E-02,  3.38901E-02,  3.53120E-02,  3.65241E-02,  3.74796E-02,  3.81385E-02,  3.84718E-02,  3.84637E-02,  3.81143E-02,  3.74383E-02,  3.64647E-02,  3.52333E-02,  3.37904E-02,  3.21863E-02,  3.04702E-02,  2.86885E-02,  2.68824E-02,  2.50867E-02,  2.33296E-02,  2.16327E-02,  2.00118E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.78858E-02,  1.94461E-02,  2.11226E-02,  2.29113E-02,  2.48034E-02,  2.67837E-02,  2.88295E-02,  3.09097E-02,  3.29839E-02,  3.50025E-02,  3.69075E-02,  3.86352E-02,  4.01196E-02,  4.12976E-02,  4.21144E-02,  4.25296E-02,  4.25214E-02,  4.20897E-02,  4.12554E-02,  4.00585E-02,  3.85536E-02,  3.68035E-02,  3.48743E-02,  3.28299E-02,  3.07284E-02,  2.86199E-02,  2.65452E-02,  2.45359E-02,  2.26151E-02,  2.07985E-02,  1.90951E-02,  1.75091E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.53312E-02,  1.67654E-02,  1.83360E-02,  2.00491E-02,  2.19082E-02,  2.39128E-02,  2.60568E-02,  2.83263E-02,  3.06986E-02,  3.31398E-02,  3.56031E-02,  3.80287E-02,  4.03438E-02,  4.24657E-02,  4.43059E-02,  4.57778E-02,  4.68050E-02,  4.73300E-02,  4.73218E-02,  4.67800E-02,  4.57350E-02,  4.42434E-02,  4.23813E-02,  4.02354E-02,  3.78939E-02,  3.54398E-02,  3.29465E-02,  3.04742E-02,  2.80702E-02,  2.57689E-02,  2.35939E-02,  2.15590E-02,  1.96709E-02,  1.79306E-02,  1.63346E-02,  1.48771E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.40899E-02,  1.54786E-02,  1.70173E-02,  1.87186E-02,  2.05935E-02,  2.26505E-02,  2.48942E-02,  2.73229E-02,  2.99267E-02,  3.26847E-02,  3.55616E-02,  3.85048E-02,  4.14429E-02,  4.42847E-02,  4.69218E-02,  4.92347E-02,  5.11025E-02,  5.24157E-02,NA,NA,  5.23910E-02,  5.10595E-02,  4.91712E-02,  4.68349E-02,  4.41716E-02,  4.13007E-02,  3.83312E-02,  3.53546E-02,  3.24434E-02,  2.96504E-02,  2.70118E-02,  2.45491E-02,  2.22728E-02,  2.01848E-02,  1.82809E-02,  1.65528E-02,  1.49896E-02,  1.35791E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
