NA,NA,NA,NA,NA,NA,NA, -6.93398E-03, -7.55058E-03, -8.22581E-03, -8.96445E-03, -9.77135E-03, -1.06512E-02, -1.16085E-02, -1.26470E-02, -1.37699E-02, -1.49791E-02, -1.62746E-02, -1.76548E-02, -1.91151E-02, -2.06479E-02, -2.22423E-02, -2.38836E-02, -2.55530E-02, -2.72282E-02, -2.88837E-02, -3.04914E-02, -3.20217E-02, -3.34446E-02, -3.47312E-02, -3.58546E-02, -3.67912E-02, -3.75213E-02, -3.80296E-02, -3.83056E-02, -3.83438E-02, -3.81433E-02, -3.77083E-02, -3.70476E-02, -3.61750E-02, -3.51089E-02, -3.38716E-02, -3.24891E-02, -3.09899E-02, -2.94037E-02, -2.77603E-02, -2.60885E-02, -2.44146E-02, -2.27622E-02, -2.11511E-02, -1.95972E-02, -1.81128E-02, -1.67064E-02, -1.53836E-02, -1.41468E-02, -1.29965E-02, -1.19313E-02, -1.09484E-02, -1.00443E-02, -9.21465E-03, -8.45474E-03, -7.75979E-03, -7.12498E-03, -6.54560E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -6.38362E-03, -6.97175E-03, -7.61936E-03, -8.33205E-03, -9.11567E-03, -9.97624E-03, -1.09197E-02, -1.19519E-02, -1.30781E-02, -1.43026E-02, -1.56285E-02, -1.70569E-02, -1.85867E-02, -2.02132E-02, -2.19284E-02, -2.37196E-02, -2.55696E-02, -2.74563E-02, -2.93530E-02, -3.12291E-02, -3.30511E-02, -3.47839E-02, -3.63924E-02, -3.78435E-02, -3.91070E-02,NA,NA,NA,NA,NA,NA,NA,NA, -3.94666E-02, -3.82686E-02, -3.68744E-02, -3.53126E-02, -3.36158E-02, -3.18185E-02, -2.99559E-02, -2.80623E-02, -2.61693E-02, -2.43050E-02, -2.24929E-02, -2.07519E-02, -1.90960E-02, -1.75347E-02, -1.60736E-02, -1.47150E-02, -1.34584E-02, -1.23013E-02, -1.12396E-02, -1.02684E-02, -9.38202E-03, -8.57449E-03, -7.83979E-03, -7.17203E-03, -6.56550E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -6.37010E-03, -6.98246E-03, -7.66005E-03, -8.40952E-03, -9.23794E-03, -1.01526E-02, -1.11610E-02, -1.22705E-02, -1.34879E-02, -1.48191E-02, -1.62687E-02, -1.78389E-02, -1.95290E-02, -2.13345E-02, -2.32462E-02, -2.52494E-02, -2.73237E-02, -2.94425E-02, -3.15736E-02, -3.36800E-02, -3.57217E-02, -3.76571E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.82461E-02, -3.63532E-02, -3.43410E-02, -3.22508E-02, -3.01234E-02, -2.79970E-02, -2.59053E-02, -2.38769E-02, -2.19341E-02, -2.00935E-02, -1.83659E-02, -1.67572E-02, -1.52692E-02, -1.39006E-02, -1.26474E-02, -1.15042E-02, -1.04643E-02, -9.52051E-03, -8.66535E-03, -7.89146E-03, -7.19166E-03, -6.55916E-03, -5.98762E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA, -5.75640E-03, -6.32723E-03, -6.96198E-03, -7.66786E-03, -8.45268E-03, -9.32482E-03, -1.02931E-02, -1.13667E-02, -1.25546E-02, -1.38656E-02, -1.53074E-02, -1.68861E-02, -1.86050E-02, -2.04641E-02, -2.24586E-02, -2.45777E-02, -2.68039E-02, -2.91123E-02, -3.14704E-02, -3.38386E-02, -3.61721E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.69020E-02, -3.45899E-02, -3.22276E-02, -2.98618E-02, -2.75337E-02, -2.52782E-02, -2.31226E-02, -2.10869E-02, -1.91838E-02, -1.74198E-02, -1.57966E-02, -1.43117E-02, -1.29597E-02, -1.17334E-02, -1.06243E-02, -9.62339E-03, -8.72151E-03, -7.90975E-03, -7.17954E-03, -6.52289E-03, -5.93239E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA, -5.14103E-03, -5.66555E-03, -6.25137E-03, -6.90599E-03, -7.63767E-03, -8.45548E-03, -9.36926E-03, -1.03895E-02, -1.15271E-02, -1.27931E-02, -1.41984E-02, -1.57524E-02, -1.74631E-02, -1.93351E-02, -2.13685E-02, -2.35578E-02, -2.58897E-02, -2.83427E-02, -3.08856E-02, -3.34776E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.43080E-02, -3.17103E-02, -2.91469E-02, -2.66613E-02, -2.42879E-02, -2.20513E-02, -1.99672E-02, -1.80435E-02, -1.62816E-02, -1.46783E-02, -1.32265E-02, -1.19171E-02, -1.07397E-02, -9.68322E-03, -8.73662E-03, -7.88927E-03, -7.13111E-03, -6.45282E-03, -5.84588E-03, -5.30254E-03,NA,NA,NA,NA,
NA,NA,NA,NA, -5.00853E-03, -5.54112E-03, -6.13881E-03, -6.81001E-03, -7.56411E-03, -8.41151E-03, -9.36358E-03, -1.04326E-02, -1.16314E-02, -1.29732E-02, -1.44710E-02, -1.61364E-02, -1.79788E-02, -2.00040E-02, -2.22120E-02, -2.45955E-02, -2.71376E-02, -2.98105E-02, -3.25742E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.34678E-02, -3.06856E-02, -2.79788E-02, -2.53913E-02, -2.29549E-02, -2.06897E-02, -1.86058E-02, -1.67054E-02, -1.49843E-02, -1.34343E-02, -1.20440E-02, -1.08009E-02, -9.69192E-03, -8.70389E-03, -7.82434E-03, -7.04162E-03, -6.34501E-03, -5.72481E-03, -5.17228E-03,NA,NA,NA,NA,
NA,NA,NA,NA, -4.84295E-03, -5.38010E-03, -5.98583E-03, -6.66952E-03, -7.44168E-03, -8.31407E-03, -9.29967E-03, -1.04126E-02, -1.16678E-02, -1.30806E-02, -1.46663E-02, -1.64384E-02, -1.84080E-02, -2.05813E-02, -2.29574E-02, -2.55259E-02, -2.82644E-02, -3.11356E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.20726E-02, -2.91693E-02, -2.63837E-02, -2.37578E-02, -2.13186E-02, -1.90801E-02, -1.70458E-02, -1.52116E-02, -1.35678E-02, -1.21014E-02, -1.07975E-02, -9.64085E-03, -8.61617E-03, -7.70909E-03, -6.90625E-03, -6.19552E-03, -5.56596E-03, -5.00785E-03, -4.51260E-03,NA,NA,NA,
NA,NA,NA, -4.16706E-03, -4.64201E-03, -5.17961E-03, -5.78887E-03, -6.48006E-03, -7.26484E-03, -8.15633E-03, -9.16911E-03, -1.03191E-02, -1.16235E-02, -1.30997E-02, -1.47650E-02, -1.66351E-02, -1.87218E-02, -2.10313E-02, -2.35604E-02, -2.62938E-02, -2.92002E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.01575E-02, -2.72055E-02, -2.44126E-02, -2.18159E-02, -1.94354E-02, -1.72778E-02, -1.53397E-02, -1.36105E-02, -1.20757E-02, -1.07184E-02, -9.52100E-03, -8.46618E-03, -7.53761E-03, -6.72024E-03, -6.00050E-03, -5.36625E-03, -4.80679E-03, -4.31273E-03,NA,NA,NA,
NA,NA,NA, -3.93472E-03, -4.40366E-03, -4.93706E-03, -5.54460E-03, -6.23742E-03, -7.02826E-03, -7.93155E-03, -8.96344E-03, -1.01417E-02, -1.14853E-02, -1.30139E-02, -1.47467E-02, -1.67006E-02, -1.88881E-02, -2.13137E-02, -2.39704E-02, -2.68352E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.77878E-02, -2.48648E-02, -2.21382E-02, -1.96373E-02, -1.73738E-02, -1.53463E-02, -1.35446E-02, -1.19528E-02, -1.05522E-02, -9.32329E-03, -8.24667E-03, -7.30414E-03, -6.47903E-03, -5.75636E-03, -5.12286E-03, -4.56690E-03, -4.07834E-03, -3.64838E-03,NA,NA,
NA,NA, -3.26625E-03, -3.66787E-03, -4.12623E-03, -4.65019E-03, -5.25006E-03, -5.93776E-03, -6.72698E-03, -7.63335E-03, -8.67446E-03, -9.86968E-03, -1.12398E-02, -1.28063E-02, -1.45898E-02, -1.66079E-02, -1.88724E-02, -2.13850E-02, -2.41323E-02, -2.70797E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.50547E-02, -2.22385E-02, -1.96486E-02, -1.73044E-02, -1.52085E-02, -1.33518E-02, -1.17182E-02, -1.02876E-02, -9.03886E-03, -7.95071E-03, -7.00330E-03, -6.17845E-03, -5.45990E-03, -4.83335E-03, -4.28633E-03, -3.80804E-03, -3.38918E-03,NA,NA,
