NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.02030E-02,  1.05111E-02,  1.08001E-02,  1.10677E-02,  1.13118E-02,  1.15308E-02,  1.17236E-02,  1.18893E-02,  1.20279E-02,  1.21397E-02,  1.22255E-02,  1.22864E-02,  1.23239E-02,  1.23397E-02,  1.23355E-02,  1.23133E-02,  1.22747E-02,  1.22215E-02,  1.21552E-02,  1.20772E-02,  1.19887E-02,  1.18905E-02,  1.17837E-02,  1.16689E-02,  1.15468E-02,  1.14178E-02,  1.12825E-02,  1.11414E-02,  1.09947E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.00029E-02,  1.03743E-02,  1.07304E-02,  1.10681E-02,  1.13842E-02,  1.16757E-02,  1.19403E-02,  1.21760E-02,  1.23813E-02,  1.25555E-02,  1.26984E-02,  1.28106E-02,  1.28931E-02,  1.29476E-02,  1.29758E-02,  1.29801E-02,  1.29627E-02,  1.29260E-02,  1.28721E-02,  1.28031E-02,  1.27209E-02,  1.26269E-02,  1.25225E-02,  1.24089E-02,  1.22868E-02,  1.21570E-02,  1.20202E-02,  1.18768E-02,  1.17272E-02,  1.15719E-02,  1.14113E-02,  1.12458E-02,  1.10757E-02,  1.09016E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.65332E-03,  1.00843E-02,  1.05065E-02,  1.09160E-02,  1.13087E-02,  1.16806E-02,  1.20280E-02,  1.23473E-02,  1.26353E-02,  1.28899E-02,  1.31090E-02,  1.32920E-02,  1.34387E-02,  1.35499E-02,  1.36270E-02,  1.36722E-02,  1.36879E-02,  1.36772E-02,  1.36429E-02,  1.35880E-02,  1.35152E-02,  1.34271E-02,  1.33257E-02,  1.32129E-02,  1.30902E-02,  1.29588E-02,  1.28194E-02,  1.26728E-02,  1.25196E-02,  1.23602E-02,  1.21949E-02,  1.20242E-02,  1.18484E-02,  1.16678E-02,  1.14828E-02,  1.12939E-02,  1.11014E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.63208E-03,  1.01127E-02,  1.05889E-02,  1.10563E-02,  1.15101E-02,  1.19455E-02,  1.23576E-02,  1.27417E-02,  1.30933E-02,  1.34088E-02,  1.36849E-02,  1.39196E-02,  1.41118E-02,  1.42614E-02,  1.43696E-02,  1.44383E-02,  1.44705E-02,  1.44695E-02,  1.44390E-02,  1.43831E-02,  1.43053E-02,  1.42092E-02,  1.40977E-02,  1.39735E-02,  1.38385E-02,  1.36945E-02,  1.35426E-02,  1.33836E-02,  1.32182E-02,  1.30467E-02,  1.28696E-02,  1.26871E-02,  1.24995E-02,  1.23070E-02,  1.21099E-02,  1.19087E-02,  1.17038E-02,  1.14955E-02,  1.12844E-02,  1.10710E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.02185E-03,  9.54718E-03,  1.00779E-02,  1.06099E-02,  1.11385E-02,  1.16586E-02,  1.21645E-02,  1.26503E-02,  1.31100E-02,  1.35377E-02,  1.39278E-02,  1.42755E-02,  1.45769E-02,  1.48291E-02,  1.50309E-02,  1.51824E-02,  1.52849E-02,  1.53413E-02,  1.53555E-02,  1.53320E-02,  1.52758E-02,  1.51920E-02,  1.50853E-02,  1.49601E-02,  1.48202E-02,  1.46685E-02,  1.45073E-02,  1.43385E-02,  1.41630E-02,  1.39818E-02,  1.37952E-02,  1.36035E-02,  1.34068E-02,  1.32053E-02,  1.29991E-02,  1.27884E-02,  1.25735E-02,  1.23546E-02,  1.21322E-02,  1.19068E-02,  1.16787E-02,  1.14486E-02,  1.12170E-02,  1.09843E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.82351E-03,  9.39063E-03,  9.96997E-03,  1.05577E-02,  1.11491E-02,  1.17389E-02,  1.23211E-02,  1.28887E-02,  1.34347E-02,  1.39516E-02,  1.44318E-02,  1.48683E-02,  1.52548E-02,  1.55861E-02,  1.58587E-02,  1.60708E-02,  1.62224E-02,  1.63157E-02,  1.63545E-02,  1.63440E-02,  1.62904E-02,  1.62003E-02,  1.60805E-02,  1.59371E-02,  1.57756E-02,  1.56007E-02,  1.54158E-02,  1.52235E-02,  1.50256E-02,  1.48232E-02,  1.46166E-02,  1.44062E-02,  1.41919E-02,  1.39736E-02,  1.37512E-02,  1.35247E-02,  1.32941E-02,  1.30596E-02,  1.28214E-02,  1.25801E-02,  1.23359E-02,  1.20895E-02,  1.18414E-02,  1.15921E-02,  1.13421E-02,  1.10922E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.96914E-03,  8.55129E-03,  9.15582E-03,  9.78023E-03,  1.04212E-02,  1.10746E-02,  1.17352E-02,  1.23970E-02,  1.30527E-02,  1.36944E-02,  1.43130E-02,  1.48994E-02,  1.54439E-02,  1.59374E-02,  1.63715E-02,  1.67395E-02,  1.70363E-02,  1.72595E-02,  1.74093E-02,  1.74885E-02,  1.75023E-02,  1.74580E-02,  1.73639E-02,  1.72291E-02,  1.70624E-02,  1.68721E-02,  1.66650E-02,  1.64468E-02,  1.62216E-02,  1.59922E-02,  1.57603E-02,  1.55267E-02,  1.52914E-02,  1.50542E-02,  1.48147E-02,  1.45724E-02,  1.43270E-02,  1.40780E-02,  1.38256E-02,  1.35696E-02,  1.33104E-02,  1.30484E-02,  1.27839E-02,  1.25175E-02,  1.22498E-02,  1.19813E-02,  1.17128E-02,  1.14447E-02,  1.11777E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.59647E-03,  8.20254E-03,  8.83821E-03,  9.50186E-03,  1.01911E-02,  1.09026E-02,  1.16320E-02,  1.23736E-02,  1.31204E-02,  1.38643E-02,  1.45954E-02,  1.53030E-02,  1.59753E-02,  1.66000E-02,  1.71649E-02,  1.76590E-02,  1.80728E-02,  1.83995E-02,  1.86354E-02,  1.87807E-02,  1.88392E-02,  1.88180E-02,  1.87273E-02,  1.85785E-02,  1.83841E-02,  1.81560E-02,  1.79050E-02,  1.76400E-02,  1.73679E-02,  1.70935E-02,  1.68196E-02,  1.65477E-02,  1.62780E-02,  1.60099E-02,  1.57426E-02,  1.54749E-02,  1.52060E-02,  1.49350E-02,  1.46614E-02,  1.43848E-02,  1.41053E-02,  1.38230E-02,  1.35382E-02,  1.32515E-02,  1.29633E-02,  1.26743E-02,  1.23851E-02,  1.20965E-02,  1.18089E-02,  1.15230E-02,  1.12395E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.15485E-03,  7.77702E-03,  8.43582E-03,  9.13075E-03,  9.86061E-03,  1.06233E-02,  1.14157E-02,  1.22332E-02,  1.30700E-02,  1.39183E-02,  1.47685E-02,  1.56093E-02,  1.64272E-02,  1.72073E-02,  1.79338E-02,  1.85905E-02,  1.91621E-02,  1.96354E-02,  2.00004E-02,  2.02518E-02,  2.03893E-02,  2.04179E-02,  2.03479E-02,  2.01930E-02,  1.99696E-02,  1.96950E-02,  1.93854E-02,  1.90552E-02,  1.87160E-02,  1.83762E-02,  1.80412E-02,  1.77137E-02,  1.73944E-02,  1.70828E-02,  1.67772E-02,  1.64757E-02,  1.61764E-02,  1.58778E-02,  1.55784E-02,  1.52773E-02,  1.49741E-02,  1.46685E-02,  1.43606E-02,  1.40509E-02,  1.37397E-02,  1.34277E-02,  1.31155E-02,  1.28038E-02,  1.24934E-02,  1.21848E-02,  1.18786E-02,  1.15756E-02,  1.12761E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.64766E-03,  7.27711E-03,  7.94965E-03,  8.66603E-03,  9.42646E-03,  1.02304E-02,  1.10763E-02,  1.19615E-02,  1.28817E-02,  1.38309E-02,  1.48008E-02,  1.57807E-02,  1.67571E-02,  1.77137E-02,  1.86317E-02,  1.94903E-02,  2.02677E-02,  2.09424E-02,  2.14955E-02,  2.19122E-02,  2.21840E-02,  2.23098E-02,  2.22962E-02,  2.21575E-02,  2.19133E-02,  2.15871E-02,  2.12030E-02,  2.07839E-02,  2.03491E-02,  1.99136E-02,  1.94878E-02,  1.90775E-02,  1.86848E-02,  1.83092E-02,  1.79485E-02,  1.75997E-02,  1.72593E-02,  1.69244E-02,  1.65922E-02,  1.62609E-02,  1.59292E-02,  1.55961E-02,  1.52614E-02,  1.49252E-02,  1.45878E-02,  1.42496E-02,  1.39114E-02,  1.35739E-02,  1.32377E-02,  1.29036E-02,  1.25723E-02,  1.22444E-02,  1.19205E-02,  1.16012E-02,  1.12868E-02,NA,NA,NA,NA,NA,NA,NA,NA,
