Qtot-2.220446049250313e-16
# RMSE: 1.23049171180699, Max. Err: 2.881064127482091 kcal/mol Qa(l,m) [a = atom index]
5
Q1(0,0)     -0.15216685048904346
Q2(0,0)     0.699083338112763
Q3(0,0)     0.02916162731169855
Q4(0,0)     0.1906282943451606
Q5(0,0)     0.12178038599973706
Q6(0,0)     0.056540214109522986
Q7(0,0)     0.06352895631387553
Q8(0,0)     -0.47211460821161144
Q9(0,0)     -0.5910185583994696
Q10(0,0)     0.21356374250540125
Q11(0,0)     -0.03578249257463078
Q12(0,0)     -0.12320404902340407
Q1(1,-1)     0.3006072590358183
Q1(1,0)     0.028003745866558738
Q1(1,1)     -0.1942511968893012
Q2(1,-1)     -0.039508817241462345
Q2(1,0)     0.01698875692964738
Q2(1,1)     0.05174415429588289
Q3(1,-1)     -0.06983520592350659
Q3(1,0)     -0.041798101476262756
Q3(1,1)     0.17266677646893047
Q4(1,-1)     -0.154188903647326
Q4(1,0)     0.0038153321738222043
Q4(1,1)     0.038057872815222535
Q5(1,-1)     0.05853474755202083
Q5(1,0)     -0.05135005722911417
Q5(1,1)     -0.09273311291142824
Q6(1,-1)     -0.05434850009499887
Q6(1,0)     -0.022803292756742664
Q6(1,1)     0.013915531056695067
Q7(1,-1)     -0.08336794556813326
Q7(1,0)     0.010531625272912425
Q7(1,1)     0.00775622686413515
Q8(1,-1)     0.11386063766021078
Q8(1,0)     0.002687016685815828
Q8(1,1)     -0.23076935915902697
Q9(1,-1)     -0.11641684350509343
Q9(1,0)     0.017182090496884996
Q9(1,1)     -0.02271223803714345
Q10(1,-1)     -0.025964053660874134
Q10(1,0)     0.046618710121753594
Q10(1,1)     0.15724747128560995
Q11(1,-1)     -0.020793771373826812
Q11(1,0)     -0.0843352276419508
Q11(1,1)     0.11868766972103899
Q12(1,-1)     -0.17965800308834995
Q12(1,0)     -0.030710462022201568
Q12(1,1)     -0.09342628965699518
Q1(2,-2)     -0.1281340802620987
Q1(2,-1)     -0.16088709888518485
Q1(2,0)     -0.11186927767900688
Q1(2,1)     0.08155174242365461
Q1(2,2)     -0.06342842211513097
Q2(2,-2)     -0.13306879554838835
Q2(2,-1)     -0.045759264453254136
Q2(2,0)     -0.2853060414441193
Q2(2,1)     0.08872733615124297
Q2(2,2)     0.8506407650820688
Q3(2,-2)     0.00851993130131666
Q3(2,-1)     0.23996458385471017
Q3(2,0)     0.23531378937340555
Q3(2,1)     -0.07649377530960877
Q3(2,2)     -0.20562562702555368
Q4(2,-2)     0.044691918195746624
Q4(2,-1)     0.010134882199060738
Q4(2,0)     0.18618187143549972
Q4(2,1)     -0.02518096487263101
Q4(2,2)     0.03551363103535811
Q5(2,-2)     -0.21483353714225756
Q5(2,-1)     -0.06380106468289262
Q5(2,0)     -0.10152158683678979
Q5(2,1)     -0.04912541681671545
Q5(2,2)     0.02374215145102755
Q6(2,-2)     0.04898270313520615
Q6(2,-1)     0.23641266076780623
Q6(2,0)     0.02604381624076596
Q6(2,1)     0.04163645895764344
Q6(2,2)     0.010018343832530398
