NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.19891E-02,  2.27281E-02,  2.34379E-02,  2.41079E-02,  2.47272E-02,  2.52845E-02,  2.57692E-02,  2.61712E-02,  2.64818E-02,  2.66940E-02,  2.68027E-02,  2.68054E-02,  2.67020E-02,  2.64949E-02,  2.61890E-02,  2.57910E-02,  2.53097E-02,  2.47549E-02,  2.41375E-02,  2.34684E-02,  2.27587E-02,  2.20192E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.13431E-02,  2.22024E-02,  2.30548E-02,  2.38898E-02,  2.46960E-02,  2.54608E-02,  2.61708E-02,  2.68126E-02,  2.73727E-02,  2.78388E-02,  2.81999E-02,  2.84471E-02,  2.85740E-02,  2.85775E-02,  2.84572E-02,  2.82165E-02,  2.78612E-02,  2.74002E-02,  2.68443E-02,  2.62058E-02,  2.54981E-02,  2.47345E-02,  2.39285E-02,  2.30928E-02,  2.22388E-02,  2.13772E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.13092E-02,  2.22639E-02,  2.32265E-02,  2.41870E-02,  2.51335E-02,  2.60525E-02,  2.69290E-02,  2.77469E-02,  2.84897E-02,  2.91408E-02,  2.96845E-02,  3.01070E-02,  3.03969E-02,  3.05462E-02,  3.05505E-02,  3.04097E-02,  3.01279E-02,  2.97127E-02,  2.91754E-02,  2.85296E-02,  2.77909E-02,  2.69757E-02,  2.61007E-02,  2.51820E-02,  2.42346E-02,  2.32722E-02,  2.23068E-02,  2.13486E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.01111E-02,  2.11190E-02,  2.21586E-02,  2.32229E-02,  2.43031E-02,  2.53880E-02,  2.64640E-02,  2.75154E-02,  2.85243E-02,  2.94713E-02,  3.03358E-02,  3.10972E-02,  3.17357E-02,  3.22336E-02,  3.25761E-02,  3.27529E-02,  3.27583E-02,  3.25922E-02,  3.22598E-02,  3.17712E-02,  3.11406E-02,  3.03858E-02,  2.95263E-02,  2.85828E-02,  2.75756E-02,  2.65245E-02,  2.54473E-02,  2.43600E-02,  2.32764E-02,  2.22078E-02,  2.11633E-02,  2.01500E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.97063E-02,  2.07681E-02,  2.18773E-02,  2.30292E-02,  2.42169E-02,  2.54309E-02,  2.66590E-02,  2.78859E-02,  2.90932E-02,  3.02597E-02,  3.13617E-02,  3.23739E-02,  3.32703E-02,  3.40255E-02,  3.46166E-02,  3.50246E-02,  3.52357E-02,  3.52425E-02,  3.50448E-02,  3.46495E-02,  3.40699E-02,  3.33246E-02,  3.24365E-02,  3.14305E-02,  3.03326E-02,  2.91681E-02,  2.79610E-02,  2.67326E-02,  2.55014E-02,  2.42830E-02,  2.30900E-02,  2.19321E-02,  2.08164E-02,  1.97479E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.91616E-02,  2.02586E-02,  2.14181E-02,  2.26380E-02,  2.39143E-02,  2.52404E-02,  2.66065E-02,  2.79996E-02,  2.94025E-02,  3.07939E-02,  3.21488E-02,  3.34383E-02,  3.46308E-02,  3.56934E-02,  3.65936E-02,  3.73015E-02,  3.77917E-02,  3.80459E-02,  3.80545E-02,  3.78170E-02,  3.73427E-02,  3.66492E-02,  3.57614E-02,  3.47088E-02,  3.35239E-02,  3.22393E-02,  3.08869E-02,  2.94954E-02,  2.80904E-02,  2.66934E-02,  2.53217E-02,  2.39890E-02,  2.27053E-02,  2.14774E-02,  2.03098E-02,  1.92046E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.84882E-02,  1.95999E-02,  2.07871E-02,  2.20510E-02,  2.33911E-02,  2.48044E-02,  2.62852E-02,  2.78240E-02,  2.94069E-02,  3.10152E-02,  3.26247E-02,  3.42055E-02,  3.57228E-02,  3.71371E-02,  3.84065E-02,  3.94886E-02,  4.03439E-02,  4.09386E-02,  4.12480E-02,  4.12587E-02,  4.09704E-02,  4.03955E-02,  3.95581E-02,  3.84913E-02,  3.72343E-02,  3.58292E-02,  3.43178E-02,  3.27397E-02,  3.11299E-02,  2.95186E-02,  2.79305E-02,  2.63848E-02,  2.48957E-02,  2.34731E-02,  2.21233E-02,  2.08494E-02,  1.96523E-02,  1.85311E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.77025E-02,  1.88076E-02,  1.99986E-02,  2.12797E-02,  2.26543E-02,  2.41237E-02,  2.56869E-02,  2.73397E-02,  2.90735E-02,  3.08745E-02,  3.27225E-02,  3.45905E-02,  3.64434E-02,  3.82389E-02,  3.99280E-02,  4.14567E-02,  4.27696E-02,  4.38135E-02,  4.45428E-02,  4.49233E-02,  4.49367E-02,  4.45825E-02,  4.38780E-02,  4.28563E-02,  4.15625E-02,  4.00490E-02,  3.83711E-02,  3.65825E-02,  3.47324E-02,  3.28636E-02,  3.10115E-02,  2.92037E-02,  2.74610E-02,  2.57977E-02,  2.42230E-02,  2.27416E-02,  2.13550E-02,  2.00619E-02,  1.88596E-02,  1.77437E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.68254E-02,  1.79034E-02,  1.90741E-02,  2.03448E-02,  2.17222E-02,  2.32122E-02,  2.48192E-02,  2.65448E-02,  2.83874E-02,  3.03403E-02,  3.23908E-02,  3.45182E-02,  3.66928E-02,  3.88742E-02,  4.10114E-02,  4.30432E-02,  4.49002E-02,  4.65088E-02,  4.77973E-02,  4.87022E-02,  4.91759E-02,  4.91927E-02,  4.87519E-02,  4.78779E-02,  4.66171E-02,  4.50320E-02,  4.31937E-02,  4.11753E-02,  3.90462E-02,  3.68677E-02,  3.46915E-02,  3.25584E-02,  3.04989E-02,  2.85345E-02,  2.66787E-02,  2.49388E-02,  2.33171E-02,  2.18123E-02,  2.04206E-02,  1.91363E-02,  1.79529E-02,  1.68631E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.58800E-02,  1.69127E-02,  1.80411E-02,  1.92747E-02,  2.06235E-02,  2.20974E-02,  2.37059E-02,  2.54569E-02,  2.73561E-02,  2.94059E-02,  3.16031E-02,  3.39374E-02,  3.63892E-02,  3.89271E-02,  4.15057E-02,  4.40642E-02,  4.65264E-02,  4.88028E-02,  5.07951E-02,  5.24047E-02,  5.35426E-02,NA,NA,  5.36046E-02,  5.25054E-02,  5.09302E-02,  4.89669E-02,  4.67133E-02,  4.42672E-02,  4.17180E-02,  3.91422E-02,  3.66014E-02,  3.41417E-02,  3.17955E-02,  2.95835E-02,  2.75171E-02,  2.56000E-02,  2.38308E-02,  2.22045E-02,  2.07133E-02,  1.93483E-02,  1.80997E-02,  1.69577E-02,  1.59126E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
