NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.59961E-02, -3.71080E-02, -3.82694E-02, -3.94812E-02, -4.07434E-02, -4.20556E-02, -4.34163E-02, -4.48228E-02, -4.62708E-02, -4.77543E-02, -4.92650E-02, -5.07919E-02, -5.23209E-02, -5.38345E-02, -5.53115E-02, -5.67270E-02, -5.80530E-02, -5.92588E-02, -6.03131E-02, -6.11852E-02, -6.18473E-02, -6.22769E-02, -6.24582E-02, -6.23839E-02, -6.20554E-02, -6.14828E-02, -6.06842E-02, -5.96845E-02, -5.85129E-02, -5.72014E-02, -5.57823E-02, -5.42867E-02, -5.27427E-02, -5.11751E-02, -4.96045E-02, -4.80478E-02, -4.65182E-02, -4.50257E-02, -4.35774E-02, -4.21782E-02, -4.08312E-02, -3.95380E-02, -3.82991E-02, -3.71140E-02, -3.59817E-02, -3.49009E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.54605E-02, -3.65727E-02, -3.77383E-02, -3.89592E-02, -4.02366E-02, -4.15711E-02, -4.29628E-02, -4.44108E-02, -4.59128E-02, -4.74648E-02, -4.90612E-02, -5.06934E-02, -5.23503E-02, -5.40168E-02, -5.56740E-02, -5.72985E-02, -5.88625E-02, -6.03337E-02, -6.16769E-02, -6.28550E-02, -6.38318E-02, -6.45745E-02, -6.50561E-02, -6.52584E-02, -6.51724E-02, -6.48001E-02, -6.41536E-02, -6.32545E-02, -6.21320E-02, -6.08212E-02, -5.93596E-02, -5.77854E-02, -5.61341E-02, -5.44382E-02, -5.27250E-02, -5.10173E-02, -4.93331E-02, -4.76860E-02, -4.60860E-02, -4.45399E-02, -4.30522E-02, -4.16252E-02, -4.02600E-02, -3.89562E-02, -3.77128E-02, -3.65281E-02, -3.54001E-02, -3.43265E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.59655E-02, -3.71256E-02, -3.83443E-02, -3.96240E-02, -4.09664E-02, -4.23729E-02, -4.38441E-02, -4.53794E-02, -4.69772E-02, -4.86339E-02, -5.03440E-02, -5.20990E-02, -5.38873E-02, -5.56931E-02, -5.74962E-02, -5.92708E-02, -6.09860E-02, -6.26055E-02, -6.40886E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.31024E-02, -6.14860E-02, -5.97521E-02, -5.79418E-02, -5.60913E-02, -5.42311E-02, -5.23857E-02, -5.05740E-02, -4.88101E-02, -4.71037E-02, -4.54613E-02, -4.38867E-02, -4.23816E-02, -4.09461E-02, -3.95794E-02, -3.82795E-02, -3.70442E-02, -3.58708E-02, -3.47565E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.52982E-02, -3.64438E-02, -3.76503E-02, -3.89208E-02, -4.02580E-02, -4.16642E-02, -4.31414E-02, -4.46907E-02, -4.63122E-02, -4.80045E-02, -4.97645E-02, -5.15868E-02, -5.34627E-02, -5.53801E-02, -5.73225E-02, -5.92680E-02, -6.11887E-02, -6.30503E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.16298E-02, -5.96643E-02, -5.76635E-02, -5.56607E-02, -5.36822E-02, -5.17476E-02, -4.98713E-02, -4.80629E-02, -4.63282E-02, -4.46705E-02, -4.30907E-02, -4.15884E-02, -4.01617E-02, -3.88082E-02, -3.75249E-02, -3.63086E-02, -3.51558E-02, -3.40631E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.57056E-02, -3.68912E-02, -3.81424E-02, -3.94627E-02, -4.08553E-02, -4.23232E-02, -4.38688E-02, -4.54939E-02, -4.71989E-02, -4.89827E-02, -5.08425E-02, -5.27726E-02, -5.47640E-02, -5.68038E-02, -5.88741E-02, -6.09510E-02, -6.30041E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.12457E-02, -5.91087E-02, -5.69761E-02, -5.48759E-02, -5.28287E-02, -5.08491E-02, -4.89464E-02, -4.71265E-02, -4.53918E-02, -4.37429E-02, -4.21784E-02, -4.06962E-02, -3.92930E-02, -3.79653E-02, -3.67092E-02, -3.55208E-02, -3.43962E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.60805E-02, -3.73039E-02, -3.85973E-02, -3.99647E-02, -4.14100E-02, -4.29367E-02, -4.45476E-02, -4.62449E-02, -4.80294E-02, -4.99001E-02, -5.18540E-02, -5.38849E-02, -5.59827E-02, -5.81328E-02, -6.03153E-02, -6.25034E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.03745E-02, -5.81356E-02, -5.59339E-02, -5.37910E-02, -5.17222E-02, -4.97375E-02, -4.78423E-02, -4.60393E-02, -4.43286E-02, -4.27085E-02, -4.11763E-02, -3.97283E-02, -3.83604E-02, -3.70684E-02, -3.58479E-02, -3.46945E-02, -3.36040E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.52309E-02, -3.64195E-02, -3.76780E-02, -3.90107E-02, -4.04222E-02, -4.19167E-02, -4.34984E-02, -4.51704E-02, -4.69354E-02, -4.87941E-02, -5.07457E-02, -5.27862E-02, -5.49082E-02, -5.70999E-02, -5.93438E-02, -6.16158E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.90966E-02, -5.68232E-02, -5.46089E-02, -5.24708E-02, -5.04200E-02, -4.84629E-02, -4.66026E-02, -4.48394E-02, -4.31715E-02, -4.15960E-02, -4.01090E-02, -3.87061E-02, -3.73826E-02, -3.61339E-02, -3.49553E-02, -3.38421E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.55027E-02, -3.67196E-02, -3.80099E-02, -3.93784E-02, -4.08302E-02, -4.23699E-02, -4.40021E-02, -4.57305E-02, -4.75577E-02, -4.94847E-02, -5.15098E-02, -5.36282E-02, -5.58305E-02, -5.81014E-02, -6.04188E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.75141E-02, -5.52601E-02, -5.30775E-02, -5.09803E-02, -4.89773E-02, -4.70727E-02, -4.52676E-02, -4.35610E-02, -4.19500E-02, -4.04306E-02, -3.89984E-02, -3.76486E-02, -3.63761E-02, -3.51761E-02, -3.40438E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.57359E-02, -3.69778E-02, -3.82963E-02, -3.96967E-02, -4.11845E-02, -4.27648E-02, -4.44425E-02, -4.62218E-02, -4.81052E-02, -5.00937E-02, -5.21848E-02, -5.43722E-02, -5.66434E-02, -5.89788E-02, -6.13492E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.57281E-02, -5.35297E-02, -5.14087E-02, -4.93774E-02, -4.74428E-02, -4.56078E-02, -4.38724E-02, -4.22342E-02, -4.06897E-02, -3.92344E-02, -3.78636E-02, -3.65722E-02, -3.53551E-02, -3.42073E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.59282E-02, -3.71915E-02, -3.85342E-02, -3.99621E-02, -4.14811E-02, -4.30969E-02, -4.48146E-02, -4.66386E-02, -4.85720E-02, -5.06151E-02, -5.27649E-02, -5.50130E-02, -5.73436E-02, -5.97313E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.60061E-02, -5.38218E-02, -5.17000E-02, -4.96587E-02, -4.77090E-02, -4.58563E-02, -4.41022E-02, -4.24456E-02, -4.08835E-02, -3.94118E-02, -3.80257E-02, -3.67203E-02, -3.54905E-02, -3.43312E-02, -3.32377E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
