Qtot5.551115123125783e-16
# RMSE: 1.2255445607442863, Max. Err: 2.8307553439537805 kcal/mol Qa(l,m) [a = atom index]
5
Q1(0,0)     0.8046656744342117
Q2(0,0)     0.07665438280767849
Q3(0,0)     -0.40956811319475933
Q4(0,0)     0.21007607478904095
Q5(0,0)     -0.6491188038984744
Q6(0,0)     -0.10358679218799681
Q7(0,0)     -0.02962188961957278
Q8(0,0)     -0.007252356813614871
Q9(0,0)     0.12595220666169354
Q10(0,0)     -0.0857734750229838
Q11(0,0)     0.024351244434746094
Q12(0,0)     0.04322184761003195
Q1(1,-1)     -0.0067055814019614905
Q1(1,0)     0.06692146158229959
Q1(1,1)     -0.11573865943943748
Q2(1,-1)     0.2001595070043924
Q2(1,0)     -0.08593770890552381
Q2(1,1)     -0.043224893550629584
Q3(1,-1)     0.016897859974333407
Q3(1,0)     -0.06273293960498535
Q3(1,1)     0.07019809648325125
Q4(1,-1)     -0.31196877471742673
Q4(1,0)     -0.0027800313653958547
Q4(1,1)     0.13420714020026575
Q5(1,-1)     -0.08405187434840652
Q5(1,0)     -0.030743663486052217
Q5(1,1)     0.08643312179224608
Q6(1,-1)     -0.017855654885621908
Q6(1,0)     -0.09031212610645128
Q6(1,1)     -0.14008075411636278
Q7(1,-1)     -0.11273144812192291
Q7(1,0)     -0.014526505362935753
Q7(1,1)     0.05468068109690641
Q8(1,-1)     -0.05736878586448471
Q8(1,0)     0.050336993080210446
Q8(1,1)     -0.009953072848205624
Q9(1,-1)     -0.2406647407896167
Q9(1,0)     0.005616304525225907
Q9(1,1)     0.10810729070716396
Q10(1,-1)     -0.05473186077907752
Q10(1,0)     -0.015703331055185843
Q10(1,1)     0.003632870329999871
Q11(1,-1)     0.14055495529535428
Q11(1,0)     0.0014846081458180505
Q11(1,1)     -0.07349972491550216
Q12(1,-1)     0.07710673322275577
Q12(1,0)     -0.010687827640412928
Q12(1,1)     -0.09655334471763594
Q1(2,-2)     -0.2195353668261481
Q1(2,-1)     -0.03570463434855371
Q1(2,0)     -0.37851320686057865
Q1(2,1)     0.1300545575196655
Q1(2,2)     0.8275476831996402
Q2(2,-2)     0.08300927076250869
Q2(2,-1)     0.004727904593308014
Q2(2,0)     -0.27020767441183074
Q2(2,1)     -0.1002337481003946
Q2(2,2)     0.23162126663219681
Q3(2,-2)     0.2390652697371158
Q3(2,-1)     -0.026679834117774033
Q3(2,0)     -0.9398128341133327
Q3(2,1)     0.10799990058397321
Q3(2,2)     0.5618803958753933
Q4(2,-2)     -0.006434802979049701
Q4(2,-1)     0.04062151300004013
Q4(2,0)     0.1379233985343784
Q4(2,1)     0.08004165376801561
Q4(2,2)     0.31233284431752184
Q5(2,-2)     -0.0463221269596585
Q5(2,-1)     0.059805490884205705
Q5(2,0)     0.007502512890117427
Q5(2,1)     0.042163101795489266
Q5(2,2)     -0.5399861831788113
Q6(2,-2)     -0.07365260861988412
Q6(2,-1)     -0.0436112300455979
Q6(2,0)     0.16671774984272902
Q6(2,1)     0.0692813666317291
Q6(2,2)     -0.1457229275164626
Q7(2,-2)     0.0710767284863271
Q7(2,-1)     -0.033586696347266506
Q7(2,0)     -0.0761843755397228
Q7(2,1)     0.012185409517240828
Q7(2,2)     0.06321666429816578
Q8(2,-2)     -0.1068042968744854
Q8(2,-1)     0.05586958597652024
Q8(2,0)     0.0976837251086899
Q8(2,1)     -0.1273679343660118
Q8(2,2)     -0.05932754268252624
Q9(2,-2)     0.1299154562666333
Q9(2,-1)     0.009773145673970848
Q9(2,0)     0.12516751286792765
Q9(2,1)     -0.012786189398338206
Q9(2,2)     0.14045178646578868
Q10(2,-2)     -0.1762423226259874
Q10(2,-1)     -0.03362705919305822
Q10(2,0)     -0.14355661427682792
Q10(2,1)     -0.02935849185613819
Q10(2,2)     -0.05631563457091812
Q11(2,-2)     0.05308515263435355
Q11(2,-1)     -0.01849278122708599
Q11(2,0)     0.03304339334774838
Q11(2,1)     -0.005418785457622977
Q11(2,2)     0.18082386129177994
Q12(2,-2)     0.04553742662373106
Q12(2,-1)     0.08880789929375062
Q12(2,0)     0.008683709048439903
Q12(2,1)     0.04346199680733839
Q12(2,2)     0.13205592385140685
Q1(3,-3)     0.1842224968394291
Q1(3,-2)     -0.2732215365662821
Q1(3,-1)     0.08215548734975547
Q1(3,0)     -0.11322372288072641
Q1(3,1)     0.38945437386109266
Q1(3,2)     -0.3106253640081808
Q1(3,3)     -0.20974470677894622
Q2(3,-3)     0.14219249367967407
Q2(3,-2)     -0.13511383005630703
Q2(3,-1)     0.1039323065456991
Q2(3,0)     -0.02798125455986375
Q2(3,1)     0.1967085318140296
Q2(3,2)     0.0046845876793043415
Q2(3,3)     -0.2612435263881019
Q3(3,-3)     0.5185876711450563
Q3(3,-2)     0.08206778724568319
Q3(3,-1)     0.17182993640748162
Q3(3,0)     0.09532303545747944
Q3(3,1)     0.6510815295417672
Q3(3,2)     -0.12349513155710526
Q3(3,3)     0.14688122525861844
Q4(3,-3)     -0.15144903762075132
Q4(3,-2)     0.0020266783443468224
Q4(3,-1)     -0.12080510348646996
Q4(3,0)     -0.1542496896467882
Q4(3,1)     -0.12723853483503433
Q4(3,2)     -0.002280822372073629
Q4(3,3)     0.027090305927095965
Q5(3,-3)     -0.13597856497389996
Q5(3,-2)     -0.10480101689800053
Q5(3,-1)     0.22652223480287706
Q5(3,0)     0.02673010176389803
Q5(3,1)     0.011706315993942437
Q5(3,2)     0.06986031494378836
Q5(3,3)     -0.003693512946820776
Q6(3,-3)     -0.03632507601626284
