5 8 8 12 
6 7 8 12 
6 8 7 12 
6 8 8 11 
7 6 8 12 
7 7 7 12 
7 7 8 11 
7 8 6 12 
7 8 7 11 
7 8 8 10 
8 5 8 12 
8 6 7 12 
8 6 8 11 
8 7 6 12 
8 7 7 11 
8 7 8 10 
8 8 5 12 
8 8 6 11 
8 8 7 10 
8 8 8 9 
9 4 8 12 
9 5 7 12 
9 5 8 11 
9 6 6 12 
9 6 7 11 
9 6 8 10 
9 7 5 12 
9 7 6 11 
9 7 7 10 
9 7 8 9 
9 8 4 12 
9 8 5 11 
9 8 6 10 
9 8 7 9 
9 8 8 8 
10 3 8 12 
10 4 7 12 
10 4 8 11 
10 5 6 12 
10 5 7 11 
10 5 8 10 
10 6 5 12 
10 6 6 11 
10 6 7 10 
10 6 8 9 
10 7 4 12 
10 7 5 11 
10 7 6 10 
10 7 7 9 
10 7 8 8 
10 8 3 12 
10 8 4 11 
10 8 5 10 
10 8 6 9 
10 8 7 8 
10 8 8 7 
11 2 8 12 
11 3 7 12 
11 3 8 11 
11 4 6 12 
11 4 7 11 
11 4 8 10 
11 5 5 12 
11 5 6 11 
11 5 7 10 
11 5 8 9 
11 6 4 12 
11 6 5 11 
11 6 6 10 
11 6 7 9 
11 6 8 8 
11 7 3 12 
11 7 4 11 
11 7 5 10 
11 7 6 9 
11 7 7 8 
11 7 8 7 
11 8 2 12 
11 8 3 11 
11 8 4 10 
11 8 5 9 
11 8 6 8 
11 8 7 7 
11 8 8 6 
12 2 7 12 
12 2 8 11 
12 3 6 12 
12 3 7 11 
12 3 8 10 
12 4 5 12 
12 4 6 11 
12 4 7 10 
12 4 8 9 
12 5 4 12 
12 5 5 11 
12 5 6 10 
12 5 7 9 
12 5 8 8 
12 6 3 12 
12 6 4 11 
12 6 5 10 
12 6 6 9 
12 6 7 8 
12 6 8 7 
12 7 2 12 
12 7 3 11 
12 7 4 10 
12 7 5 9 
12 7 6 8 
12 7 7 7 
12 7 8 6 
12 8 2 11 
12 8 3 10 
12 8 4 9 
12 8 5 8 
12 8 6 7 
12 8 7 6 
12 8 8 5 
